code,name,day,time,building,floor,room,instructor
CPE101 (B01),Discrete Mathematics,พุธ,เช้า (09:30 - 12:20),ตึกวิศวกรรมศาสตร์,...,G-635,ผศ.ธิติพร ประมวน ชังคะนาค
CPE102 (B01),Fundamental of Computer Engineering and Smart Electronics,จันทร์,บ่าย (13:30 - 16:20),ตึกวิศวกรรมศาสตร์,...,G-634,รศ.ประมวล ชูรัตน์ และ อ.วชิรยงยศ ทิมาบุตร
CPE103 (B01),Computer Programming,พฤหัสบดี,เช้า (10:30 - 12:20),ตึกวิศวกรรมศาสตร์,...,G-633,อ.อาคม ม่วงเขาแดง
CPE103 (B01),Computer Programming,พฤหัสบดี,บ่าย (13:30 - 16:20),ตึกวิศวกรรมศาสตร์,...,G-633,อ.อาคม ม่วงเขาแดง
MA117 (B01),Calculus For Engineering,จันทร์,เช้า (09:30 - 12:20),อาคารอเนกประสงค์ของวิชาพื้นฐาน,4,5,ผศ.อิทธิเทพ นวาระสุจิตร
PY101 (B08),Introductory Physics 1,ศุกร์,บ่าย (13:30 - 16:20),อาคารอเนกประสงค์ของวิชาพื้นฐาน,4,2,ผศ.สิริ สิรินิลกุล
PY181 (B08),Introductory Physics Laboratory 1,ศุกร์,เช้า (09:30 - 12:20),อาคารอเนกประสงค์ของวิชาพื้นฐาน,2,3-7-10,ผศ.สิริ สิรินิลกุล และ อ.มาโนชญ์ เฮงวัฒนะ และ อ.สุพิชญ แขมมณี
SWU191 (B55),Learning to the World of 21st Century,อังคาร,บ่าย (13:30 - 16:20), อาคารเรียนรวม,4,8,อ.ภานุวัฒน์ บุตรเรียง
SWU192 (B55),Thai Language for Communication,อังคาร,เช้า (08:30 - 12:20), อาคารเรียนรวม,4,8, รองศาสตราจารย์ ดร.กาญจนา ต้นโพธิ์










 

